Rk,Season,Team,Lg,BtRuns,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm,XBH,TOB,TOBwe,Outs,RC,BAbip,RP,BtRuns.1,BtWins,ISO,AB/SO,SB%,SBatt,Hitting AIR,franchise,Rk_pit,Team_pit,Lg_pit,W_pit,GP_pit,W.1,L_pit,WL%_pit,ERA,G,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,PtchR,PtchW,WPA,WPA/LI,Clutch,RE24,REW,aLI,elo_start,elo_end,elo_delta,BtRuns/G,PtchR/G,RC/G,RA/G,RunDiff/G,BB%,SO%,HR%,XBH%,SV/G,WPA/G,Clutch/G,RE24/G,wl
146,2020,TOR,AL,23,60,32,28,0.533,21,2263,2023,302,516,320,104,4,88,288,33,6,203,508,0.255,0.325,0.441,0.766,108,892,39,12,8,14,4,404,5.0,196,731,756,1574,301,0.297,502,23,2.2,0.186,4.0,84.6,39,99,TOR,521,TOR,AL,32,60,32,28,0.533,4.59,60,0,0,17,525.0,517,312,268,81,250,7,519,14,2,15,2309,97,4.73,1.461,8.9,1.4,4.3,8.9,2.08,-18,-1.3,1.0,-1.5,,-23.59,-1.9,0.0,1477.315850466547,1491.4801010345154,14.164250567968338,0.38333333333333336,-0.3,5.016666666666667,5.2,-0.20000000000000018,0.0897039328325232,0.22448077772867875,0.038886433937251434,0.08661069376933274,0.2833333333333333,0.016666666666666666,,-0.39316666666666666,0.533
147,2026,PIT,NL,22,116,57,59,0.491,24,4536,4021,586,1030,697,179,12,142,561,101,19,419,1101,0.256,0.333,0.413,0.746,104,1659,88,60,6,27,8,858,5.1,333,1509,1534,3131,580,0.317,1005,22,2.1,0.156,3.7,84.2,120,99,PIT,480,PIT,NL,57,116,57,59,0.491,4.3,116,0,0,23,1036.2,951,559,495,120,424,17,1077,63,5,42,4476,101,3.93,1.326,8.3,1.0,3.7,9.4,2.54,-6,-0.3,0.9,2.3,,-12.67,-0.9,0.0,1486.6570150765217,1497.1584083955888,10.501393319067349,0.1896551724137931,-0.05172413793103448,5.0,4.818965517241379,0.28103448275862064,0.09237213403880071,0.24272486772486773,0.03130511463844797,0.07341269841269842,0.19827586206896552,0.007758620689655172,,-0.10922413793103448,0.491
148,2020,WSN,NL,22,60,26,34,0.433,20,2218,1968,293,519,329,112,12,66,279,33,12,192,451,0.264,0.336,0.433,0.769,107,853,42,32,5,21,16,411,4.9,190,743,758,1529,303,0.308,506,22,2.0,0.17,4.4,73.3,45,101,WSN,534,WSN,NL,26,60,26,34,0.433,5.09,60,2,0,12,503.2,548,301,285,94,216,22,508,22,4,23,2273,89,5.02,1.517,9.8,1.7,3.9,9.1,2.35,-28,-2.4,-0.3,-3.7,,-22.8,-1.9,0.0,1534.770916030482,1513.4400919913523,-21.33082403912954,0.36666666666666664,-0.4666666666666667,5.05,5.016666666666667,-0.11666666666666625,0.08656447249774572,0.20333633904418394,0.029756537421100092,0.08566275924256087,0.2,-0.005,,-0.38,0.433
149,2015,NYY,AL,22,162,87,75,0.537,49,6268,5567,764,1397,894,272,19,212,737,63,25,554,1227,0.251,0.323,0.421,0.744,102,2343,105,63,24,54,23,1151,4.7,503,2014,2064,4378,785,0.283,1289,22,2.1,0.17,4.5,71.6,88,99,NYY,171,NYY,AL,87,162,87,75,0.537,4.03,162,3,0,48,1457.2,1416,698,652,182,474,16,1370,56,4,78,6191,102,3.97,1.297,8.7,1.1,2.9,8.5,2.89,11,1.6,7.7,-0.1,1923.6,13.19,1.5,0.0,1503.239878634737,1519.7237322475082,16.483853612771327,0.13580246913580246,0.06790123456790123,4.845679012345679,4.308641975308642,0.3913580246913586,0.08838544990427569,0.19575622208040844,0.03382259093809828,0.08024888321633696,0.2962962962962963,0.047530864197530866,11.874074074074073,0.08141975308641974,0.537
150,2013,STL,NL,22,162,97,65,0.599,44,6202,5557,783,1494,1027,322,20,125,745,45,22,481,1110,0.269,0.332,0.401,0.733,102,2231,154,64,56,44,38,1087,4.8,467,2039,2083,4339,764,0.314,1403,22,1.9,0.133,5.0,67.2,67,97,STL,38,STL,NL,97,162,97,65,0.599,3.42,162,7,4,44,1459.2,1366,596,555,112,451,26,1254,64,1,33,6104,110,3.39,1.245,8.4,0.7,2.8,7.7,2.78,57,6.5,7.4,7.4,127.8,56.61,6.5,0.06,1518.1218563883333,1557.9481849749195,39.82632858658621,0.13580246913580246,0.35185185185185186,4.716049382716049,3.6790123456790123,1.1209876543209876,0.07755562721702676,0.17897452434698485,0.02015478877781361,0.07529829087391164,0.2716049382716049,0.04567901234567901,0.7888888888888889,0.34944444444444445,0.599
151,2010,TOR,AL,22,162,85,77,0.525,35,6072,5495,755,1364,767,319,21,257,732,58,20,471,1164,0.248,0.312,0.454,0.766,105,2496,114,55,16,34,25,1017,4.7,597,1890,1939,4315,788,0.269,1230,22,2.0,0.206,4.7,74.4,78,102,TOR,203,TOR,AL,85,162,85,77,0.525,4.22,162,5,2,45,1440.2,1407,728,676,150,539,35,1184,60,3,69,6165,100,4.04,1.351,8.8,0.9,3.4,7.4,2.2,-3,0.1,1.8,0.2,608.8,-8.36,-0.5,0.0,1498.1298432539193,1517.7859263839614,19.65608313004213,0.13580246913580246,-0.018518518518518517,4.864197530864198,4.493827160493828,0.2061728395061726,0.0775691699604743,0.191699604743083,0.042325428194993416,0.0983201581027668,0.2777777777777778,0.011111111111111112,3.7580246913580244,-0.051604938271604936,0.525
152,2009,PHI,NL,22,162,93,69,0.574,41,6338,5578,820,1439,868,312,35,224,788,119,28,589,1155,0.258,0.334,0.447,0.781,104,2493,90,71,55,45,47,1192,5.1,571,2099,2158,4357,890,0.286,1384,22,1.9,0.189,4.8,81.0,147,108,PHI,90,PHI,NL,93,162,93,69,0.574,4.16,162,8,5,44,1455.2,1479,709,673,189,489,31,1153,75,2,28,6263,101,4.36,1.352,9.1,1.2,3.0,7.1,2.36,18,2.1,-0.4,-1.6,-5.3,18.69,2.2,0.06,1500.0,1533.2420937458558,33.242093745855755,0.13580246913580246,0.1111111111111111,5.493827160493828,4.3765432098765435,0.7234567901234561,0.09293152414010729,0.18223414326285894,0.03534237929946355,0.09009151151782897,0.2716049382716049,-0.0024691358024691358,-0.03271604938271605,0.11537037037037037,0.574
153,2024,MIN,AL,21,162,82,80,0.506,21,6123,5490,742,1352,837,309,23,183,702,65,23,473,1306,0.246,0.315,0.411,0.726,103,2256,115,101,10,47,15,1087,4.6,515,1926,1968,4333,730,0.289,1261,21,2.0,0.165,4.2,73.9,88,94,MIN,229,MIN,AL,82,162,82,80,0.506,4.26,162,1,0,43,1440.0,1333,735,682,190,433,14,1500,69,5,47,6078,99,3.84,1.226,8.3,1.2,2.7,9.4,3.46,-2,0.1,1.9,4.1,,-7.54,-0.3,0.0,1516.3147995077236,1493.6075058195768,-22.70729368814682,0.12962962962962962,-0.012345679012345678,4.506172839506172,4.537037037037037,0.06296296296296244,0.07724971419238935,0.21329413686101584,0.029887310142087214,0.08410909684795036,0.2654320987654321,0.011728395061728394,,-0.04654320987654321,0.506
154,2021,SDP,NL,21,162,79,83,0.488,54,6119,5384,729,1305,831,273,21,180,695,110,39,586,1324,0.242,0.321,0.401,0.722,101,2160,121,61,36,46,42,1123,4.5,474,1952,1993,4321,737,0.287,1244,21,1.9,0.159,4.1,73.8,149,95,SDP,272,SDP,NL,79,162,79,83,0.488,4.1,162,2,2,43,1430.0,1277,708,651,205,516,33,1517,87,2,57,6056,95,4.18,1.254,8.0,1.3,3.2,9.5,2.94,-31,-2.6,2.1,0.2,20.3,10.88,1.5,0.1,1507.0913415920054,1491.3946969040005,-15.69664468800488,0.12962962962962962,-0.19135802469135801,4.549382716049383,4.37037037037037,0.12962962962962976,0.09576728223565942,0.21637522470991993,0.02941657133518549,0.07746363784932178,0.2654320987654321,0.012962962962962964,0.12530864197530864,0.0671604938271605,0.488
155,2012,DET,AL,20,162,88,74,0.543,37,6119,5476,726,1467,986,279,39,163,698,59,23,511,1103,0.268,0.335,0.422,0.757,103,2313,156,57,36,39,46,1121,4.5,481,2035,2082,4263,786,0.307,1261,20,1.6,0.154,5.0,72.0,82,103,DET,160,DET,AL,88,162,88,74,0.543,3.75,162,9,3,40,1430.2,1409,670,596,151,438,35,1318,42,6,46,6045,114,3.63,1.291,8.9,0.9,2.8,8.3,3.01,68,7.5,4.8,4.5,1595.2,53.8,6.1,0.0,1521.2160865126118,1533.4553690853145,12.239282572702676,0.12345679012345678,0.41975308641975306,4.851851851851852,4.135802469135802,0.3641975308641978,0.08351037751266546,0.1802582121261644,0.026638339597973525,0.07860761562346788,0.24691358024691357,0.029629629629629627,9.846913580246914,0.33209876543209876,0.543
156,2011,LAA,AL,20,162,86,76,0.531,34,6088,5513,667,1394,916,289,34,155,629,135,52,442,1086,0.253,0.313,0.402,0.714,102,2216,126,51,50,32,33,1051,4.1,478,1887,1952,4379,692,0.288,1141,20,1.8,0.149,5.1,72.2,187,92,LAA,190,LAA,AL,86,162,86,76,0.531,3.57,162,12,6,39,1465.0,1388,633,581,142,476,34,1058,36,4,55,6124,106,3.89,1.272,8.5,0.9,2.9,6.5,2.22,37,4.5,8.2,4.9,2744.5,63.36,7.5,0.0,1505.9968558045389,1517.3630116253337,11.366155820794576,0.12345679012345678,0.22839506172839505,4.271604938271605,3.9074074074074074,0.1925925925925922,0.0726018396846255,0.1783837056504599,0.025459921156373192,0.07851511169513797,0.24074074074074073,0.05061728395061728,16.941358024691358,0.39111111111111113,0.531
157,2026,BOS,AL,19,113,62,51,0.549,25,4233,3764,492,925,595,196,18,116,470,86,31,343,926,0.246,0.317,0.4,0.717,103,1505,73,67,25,32,6,753,4.4,330,1335,1363,3000,498,0.294,846,19,1.8,0.154,4.1,73.5,117,92,BOS,453,BOS,AL,62,113,62,51,0.549,3.49,113,0,0,33,1003.1,908,416,389,111,319,6,965,42,3,23,4192,117,3.69,1.223,8.1,1.0,2.9,8.7,3.03,71,7.5,7.7,6.7,,84.19,9.0,0.0,1519.9604216003445,1546.3619317473983,26.40151014705407,0.168141592920354,0.6283185840707964,4.407079646017699,3.6814159292035398,0.7185840707964606,0.08103000236239075,0.21875738247106072,0.027403732577368296,0.07795889440113395,0.2920353982300885,0.06814159292035399,,0.7450442477876106,0.549
158,2010,ATL,NL,19,162,91,71,0.562,43,6252,5463,738,1411,935,312,25,139,699,63,29,634,1140,0.258,0.339,0.401,0.74,101,2190,136,51,69,35,50,1222,4.6,476,2096,2158,4321,765,0.301,1298,19,1.7,0.143,4.8,68.5,92,101,ATL,115,ATL,NL,91,162,91,71,0.562,3.56,162,2,0,41,1439.2,1326,629,569,126,505,64,1241,49,3,42,6052,110,3.65,1.272,8.3,0.8,3.2,7.8,2.46,56,6.4,4.9,6.2,76.1,61.66,7.5,0.06,1515.861196444445,1531.7278158232286,15.866619378783298,0.11728395061728394,0.345679012345679,4.722222222222222,3.882716049382716,0.7172839506172837,0.10140754958413307,0.18234165067178504,0.022232885476647472,0.07613563659628919,0.25308641975308643,0.030246913580246917,0.46975308641975305,0.3806172839506173,0.562
159,2024,MIL,NL,18,162,93,69,0.574,28,6170,5472,777,1359,900,249,33,177,742,217,42,597,1459,0.248,0.326,0.403,0.729,102,2205,97,46,15,34,19,1113,4.8,459,2002,2031,4301,768,0.305,1342,18,1.7,0.155,3.8,83.8,259,96,MIL,77,MIL,NL,93,162,93,69,0.574,3.65,162,0,0,53,1446.0,1289,641,586,196,494,25,1373,64,10,40,6076,115,4.19,1.233,8.0,1.2,3.1,8.5,2.78,84,8.8,12.3,8.1,,99.46,10.7,0.0,1522.8460707229729,1547.1274674153638,24.2813966923909,0.1111111111111111,0.5185185185185185,4.7407407407407405,3.95679012345679,0.8432098765432099,0.09675850891410048,0.23646677471636954,0.028687196110210696,0.07439222042139385,0.3271604938271605,0.07592592592592592,,0.6139506172839506,0.574
160,2026,SFG,NL,17,115,48,67,0.417,30,4319,3922,479,987,636,200,22,129,460,52,15,303,901,0.252,0.309,0.413,0.722,103,1618,66,39,21,34,14,785,4.2,351,1329,1351,3071,518,0.293,810,17,1.6,0.161,4.4,77.6,67,92,SFG,503,SFG,NL,48,115,48,67,0.417,4.38,115,1,0,21,1012.0,951,535,493,112,426,14,874,49,4,37,4357,91,4.21,1.361,8.5,1.0,3.8,7.8,2.05,-47,-4.3,-3.6,0.3,,-27.71,-2.5,0.0,1500.9068368272617,1481.806985669088,-19.09985115817358,0.14782608695652175,-0.40869565217391307,4.504347826086956,4.6521739130434785,-0.4521739130434783,0.07015512850196805,0.20861310488539014,0.029868025005788376,0.0812688122250521,0.1826086956521739,-0.03130434782608696,,-0.24095652173913043,0.417
161,2018,TOR,AL,17,162,73,89,0.451,51,6076,5477,709,1336,783,320,16,217,680,47,30,499,1387,0.244,0.312,0.427,0.739,102,2339,118,58,5,37,15,1036,4.4,553,1893,1945,4331,728,0.286,1172,17,1.5,0.183,3.9,61.0,77,98,TOR,354,TOR,AL,73,162,73,89,0.451,4.85,162,0,0,39,1433.2,1476,832,772,208,551,19,1298,67,5,71,6265,88,4.53,1.414,9.3,1.3,3.5,8.1,2.36,-94,-8.9,-7.2,-11.0,-2375.4,-110.22,-10.5,0.0,1499.197594082772,1463.73419919305,-35.46339488972194,0.10493827160493827,-0.5802469135802469,4.493827160493828,5.135802469135802,-0.7358024691358018,0.08212639894667545,0.228275181040158,0.03571428571428571,0.09101382488479262,0.24074074074074073,-0.044444444444444446,-14.662962962962963,-0.6803703703703704,0.451
162,2010,DET,AL,17,162,81,81,0.5,37,6312,5643,751,1515,1023,308,32,152,717,69,30,546,1147,0.268,0.335,0.415,0.75,102,2343,118,41,41,41,50,1229,4.6,492,2102,2166,4358,810,0.311,1316,17,1.5,0.147,4.9,69.7,99,102,DET,252,DET,AL,81,162,81,81,0.5,4.3,162,6,1,32,1444.1,1445,743,690,142,537,29,1056,65,9,75,6198,98,4.15,1.372,9.0,0.9,3.3,6.6,1.97,-15,-1.0,-3.2,0.4,-1054.4,-25.14,-2.0,0.0,1497.1061920358843,1503.9674090496026,6.86121701371826,0.10493827160493827,-0.09259259259259259,5.0,4.58641975308642,0.013580246913579508,0.08650190114068441,0.1817173637515843,0.024081115335868188,0.0779467680608365,0.19753086419753085,-0.019753086419753086,-6.508641975308643,-0.15518518518518518,0.5
163,2022,CLE,AL,16,162,92,70,0.568,27,6163,5558,698,1410,979,273,31,127,662,119,27,450,1122,0.254,0.316,0.383,0.699,102,2126,119,81,22,52,36,1156,4.3,431,1941,1984,4368,703,0.294,1233,16,1.4,0.129,5.0,81.5,146,89,CLE,94,CLE,AL,92,162,92,70,0.568,3.46,162,1,0,51,1456.0,1252,634,560,172,435,14,1390,57,2,49,5989,110,3.75,1.159,7.7,1.1,2.7,8.6,3.2,46,5.4,10.3,8.0,,69.69,8.0,0.0,1499.5757471166144,1527.4833709498575,27.90762383324318,0.09876543209876543,0.2839506172839506,4.339506172839506,3.9135802469135803,0.3864197530864195,0.07301638812266753,0.18205419438585105,0.020606847314619505,0.06993347395748824,0.3148148148148148,0.06358024691358025,,0.43018518518518517,0.568
164,2014,BAL,AL,16,162,96,66,0.593,39,6130,5596,705,1434,943,264,16,211,681,44,20,401,1285,0.256,0.311,0.422,0.734,104,2363,112,62,35,36,29,1088,4.4,491,1897,1954,4365,742,0.296,1175,16,1.4,0.166,4.4,68.8,64,95,BAL,46,BAL,AL,96,162,96,66,0.593,3.43,162,3,2,53,1461.1,1342,593,557,151,472,25,1174,59,2,42,6104,115,3.96,1.241,8.3,0.9,2.9,7.2,2.49,88,9.4,12.3,4.7,4094.7,94.59,9.8,0.0,1512.227761343963,1555.565621906213,43.33786056224994,0.09876543209876543,0.5432098765432098,4.580246913580247,3.6604938271604937,0.7395061728395067,0.06541598694942903,0.2096247960848287,0.03442088091353997,0.08009787928221859,0.3271604938271605,0.07592592592592592,25.275925925925925,0.5838888888888889,0.593
165,2022,BOS,AL,15,162,78,84,0.481,26,6144,5539,735,1427,908,352,12,155,704,52,20,478,1373,0.258,0.321,0.409,0.731,102,2268,131,63,12,50,23,1133,4.5,519,1968,2010,4325,744,0.313,1284,15,1.4,0.152,4.0,72.2,72,97,BOS,286,BOS,AL,78,162,78,84,0.481,4.54,162,5,2,39,1430.2,1411,787,721,185,526,17,1346,72,8,60,6167,93,4.17,1.354,8.9,1.2,3.3,8.5,2.56,-43,-4.0,0.2,-2.9,225.9,-70.7,-6.4,0.0,1512.9818325247716,1491.486150750144,-21.495681774627656,0.09259259259259259,-0.2654320987654321,4.592592592592593,4.8580246913580245,-0.3580246913580245,0.07779947916666667,0.22347005208333334,0.025227864583333332,0.08447265625,0.24074074074074073,0.0012345679012345679,1.3944444444444444,-0.4364197530864198,0.481
166,2018,SEA,AL,15,162,89,73,0.549,41,6087,5513,677,1402,938,256,32,176,644,79,37,430,1221,0.254,0.314,0.408,0.722,102,2250,128,70,29,41,17,1084,4.2,464,1902,1947,4346,712,0.295,1145,15,1.4,0.154,4.5,68.1,116,94,SEA,144,SEA,AL,89,162,89,73,0.549,4.13,162,3,1,60,1448.2,1396,711,664,195,400,21,1328,72,3,57,6073,99,4.05,1.24,8.7,1.2,2.5,8.3,3.32,-4,0.1,6.7,0.2,2226.5,5.49,0.9,0.0,1497.1846258757096,1501.3133227275312,4.128696851821587,0.09259259259259259,-0.024691358024691357,4.395061728395062,4.388888888888889,-0.1888888888888891,0.07064235255462462,0.20059142434696894,0.028914079185148676,0.0762280269426647,0.37037037037037035,0.04135802469135803,13.743827160493828,0.03388888888888889,0.549
167,2016,TOR,AL,15,162,89,73,0.549,38,6233,5479,759,1358,843,276,18,221,728,54,24,632,1362,0.248,0.33,0.426,0.755,101,2333,153,55,26,40,16,1120,4.7,515,2045,2092,4364,789,0.289,1266,15,1.2,0.178,4.0,69.2,78,104,TOR,146,TOR,AL,89,162,89,73,0.549,3.78,162,0,0,43,1459.1,1340,666,613,183,461,10,1314,59,7,50,6113,113,4.04,1.234,8.3,1.1,2.8,8.1,2.85,76,8.0,9.5,6.4,49.5,79.24,8.4,0.17,1540.737723869098,1543.7409247437918,3.0032008746939027,0.09259259259259259,0.4691358024691358,4.87037037037037,4.111111111111111,0.5888888888888895,0.10139579656666133,0.21851435905663405,0.03545644152093695,0.08262473929087116,0.2654320987654321,0.05864197530864197,0.3055555555555556,0.4891358024691358,0.549
168,2019,CHC,NL,13,162,84,78,0.519,52,6195,5461,814,1378,826,270,26,256,783,45,24,581,1460,0.252,0.331,0.452,0.783,102,2468,127,83,30,39,33,1071,5.0,552,2042,2086,4303,848,0.297,1341,13,1.0,0.2,3.7,65.2,69,110,CHC,208,CHC,NL,84,162,84,78,0.519,4.1,162,1,1,38,1442.1,1376,717,657,195,534,16,1444,80,1,60,6190,108,4.25,1.324,8.6,1.2,3.3,9.0,2.7,49,5.0,1.3,1.7,23.0,44.65,4.8,0.05,1526.0697897309997,1529.9745262590473,3.9047365280475783,0.08024691358024691,0.30246913580246915,5.234567901234568,4.425925925925926,0.5740740740740744,0.09378531073446328,0.23567393058918482,0.04132364810330912,0.0891041162227603,0.2345679012345679,0.008024691358024692,0.1419753086419753,0.2756172839506173,0.519
169,2014,CHW,AL,13,162,73,89,0.451,36,6077,5543,660,1400,934,279,32,155,625,85,36,417,1362,0.253,0.31,0.398,0.708,102,2208,127,60,19,38,33,1071,4.1,466,1877,1939,4363,690,0.306,1130,13,1.1,0.146,4.1,70.2,121,90,CHW,357,CHW,AL,73,162,73,89,0.451,4.29,162,3,0,36,1441.0,1468,758,687,140,557,42,1152,69,3,75,6255,88,4.1,1.405,9.2,0.9,3.5,7.2,2.07,-91,-8.3,-11.5,-6.8,-190.6,-101.65,-9.3,0.06,1470.870969557672,1455.7975401991907,-15.073429358481237,0.08024691358024691,-0.5617283950617284,4.2592592592592595,4.679012345679013,-0.579012345679013,0.06861938456475235,0.22412374526904721,0.025506006253085405,0.07668257363830838,0.2222222222222222,-0.07098765432098765,-1.1765432098765432,-0.6274691358024692,0.451
170,2013,SFG,NL,13,162,76,86,0.469,44,6168,5552,629,1446,1024,280,35,107,596,67,26,469,1078,0.26,0.32,0.381,0.702,100,2117,131,39,66,42,40,1187,3.9,422,1954,2002,4371,702,0.304,1118,13,1.1,0.121,5.2,72.0,93,91,SFG,320,SFG,NL,76,162,76,86,0.469,4.0,162,2,2,41,1447.1,1380,691,643,145,521,64,1256,50,4,60,6163,87,3.8,1.313,8.6,0.9,3.2,7.8,2.41,-91,-8.5,-8.1,-4.6,-155.0,-73.9,-7.0,0.05,1519.3847584613293,1488.5579040912314,-30.826854370097863,0.08024691358024691,-0.5617283950617284,4.333333333333333,4.265432098765432,-0.36543209876543203,0.07603761348897535,0.17477302204928663,0.017347600518806745,0.06841763942931259,0.25308641975308643,-0.049999999999999996,-0.9567901234567902,-0.4561728395061729,0.469
171,2009,TOR,AL,13,162,75,87,0.463,36,6362,5696,798,1516,955,339,13,209,766,73,23,548,1028,0.266,0.333,0.44,0.773,102,2508,130,45,24,49,23,1195,4.9,561,2109,2172,4406,852,0.29,1355,13,1.0,0.174,5.5,76.0,96,108,TOR,334,TOR,AL,75,162,75,87,0.463,4.46,162,10,4,25,1451.1,1509,771,720,181,551,26,1181,58,4,43,6281,100,4.35,1.419,9.4,1.1,3.4,7.3,2.14,-1,0.8,-2.0,-1.0,-659.0,8.62,2.0,0.0,1500.0,1496.8830720898654,-3.116927910134564,0.08024691358024691,-0.006172839506172839,5.2592592592592595,4.7592592592592595,0.14074074074074083,0.08613643508330714,0.1615844074190506,0.03285130462118831,0.08817981766740018,0.15432098765432098,-0.012345679012345678,-4.067901234567901,0.05320987654320987,0.463
172,2015,SEA,AL,12,162,76,86,0.469,43,6131,5544,656,1379,897,262,22,198,624,69,45,478,1336,0.249,0.311,0.411,0.722,101,2279,123,36,38,35,31,1080,4.0,482,1893,1956,4406,725,0.292,1082,12,1.0,0.162,4.1,60.5,114,94,SEA,317,SEA,AL,76,162,76,86,0.469,4.16,162,6,5,45,1463.0,1430,726,677,181,491,41,1283,70,5,72,6223,92,4.14,1.313,8.8,1.1,3.0,7.9,2.61,-54,-5.2,-0.6,-2.2,-153.8,-39.07,-3.8,0.0,1508.517310896652,1489.572811136365,-18.944499760286817,0.07407407407407407,-0.3333333333333333,4.4753086419753085,4.481481481481482,-0.48148148148148184,0.07796444299461752,0.2179089871146632,0.032294894796933614,0.07861686511172729,0.2777777777777778,-0.0037037037037037034,-0.9493827160493827,-0.24117283950617285,0.469
173,2011,CLE,AL,11,162,80,82,0.494,37,6142,5509,704,1380,910,290,26,154,671,89,42,494,1269,0.25,0.317,0.396,0.714,100,2184,111,65,31,43,30,1075,4.3,470,1939,1976,4356,709,0.297,1221,11,0.9,0.146,4.3,67.9,131,94,CLE,264,CLE,AL,80,162,80,82,0.494,4.23,162,2,0,38,1453.1,1482,760,683,153,463,34,1024,60,3,42,6235,93,4.06,1.338,9.2,0.9,2.9,6.3,2.21,-57,-5.1,0.7,-1.8,251.4,-59.61,-5.4,0.0,1474.9486754216855,1471.0813208437364,-3.867354577949072,0.06790123456790123,-0.35185185185185186,4.3765432098765435,4.691358024691358,-0.3913580246913586,0.08042982741777922,0.20661022468251383,0.02507326603712146,0.07652230543796809,0.2345679012345679,0.004320987654320987,1.5518518518518518,-0.36796296296296294,0.494
174,2011,MIL,NL,11,162,96,66,0.593,48,6113,5447,721,1422,930,276,31,185,693,94,31,481,1083,0.261,0.325,0.425,0.75,102,2315,114,56,85,44,53,1110,4.5,492,1959,2018,4299,794,0.293,1229,11,0.7,0.164,5.0,75.2,125,101,MIL,50,MIL,NL,96,162,96,66,0.593,3.63,162,1,1,47,1442.0,1348,638,582,147,440,16,1257,33,5,70,6048,109,3.59,1.24,8.4,0.9,2.7,7.8,2.86,49,5.2,4.8,3.5,82.4,35.78,3.7,0.06,1489.2806203960042,1533.4551953898756,44.174574993871374,0.06790123456790123,0.30246913580246915,4.901234567901234,3.9382716049382718,0.5617283950617282,0.07868477016194994,0.17716342221495174,0.030263373139211517,0.08048421397022738,0.29012345679012347,0.029629629629629627,0.508641975308642,0.2208641975308642,0.593
175,2025,ATL,NL,10,162,76,86,0.469,27,6186,5508,724,1349,897,243,19,190,701,82,25,575,1371,0.245,0.32,0.399,0.72,101,2200,98,51,15,36,14,1160,4.5,452,1975,2006,4333,738,0.291,1235,10,0.8,0.155,4.0,76.6,107,94,ATL,310,ATL,NL,76,162,76,86,0.469,4.36,162,1,0,34,1438.0,1348,734,696,197,530,20,1416,70,8,40,6116,97,4.2,1.306,8.4,1.2,3.3,8.9,2.67,-11,0.1,2.9,0.3,,-2.12,1.5,0.0,1530.1468591486748,1508.8233381971877,-21.323520951487357,0.06172839506172839,-0.06790123456790123,4.555555555555555,4.530864197530864,-0.03086419753086389,0.09295182670546395,0.22162948593598447,0.030714516650501133,0.07306821855803428,0.20987654320987653,0.017901234567901235,,-0.01308641975308642,0.469
176,2020,BOS,AL,10,60,24,36,0.4,22,2304,2083,292,552,346,118,7,81,278,31,9,187,545,0.265,0.33,0.445,0.775,104,927,51,21,4,9,8,429,4.9,206,760,777,1604,312,0.321,489,10,0.9,0.18,3.8,77.5,40,105,BOS,537,BOS,AL,24,60,24,36,0.4,5.58,60,0,0,14,524.0,587,351,325,98,252,4,537,31,3,28,2389,87,5.19,1.601,10.1,1.7,4.3,9.2,2.13,-38,-3.0,-5.4,-7.6,,-57.76,-4.7,0.0,1515.6324086081922,1491.9408031591,-23.69160544909209,0.16666666666666666,-0.6333333333333333,5.2,5.85,-0.9499999999999993,0.08116319444444445,0.2365451388888889,0.03515625,0.08940972222222222,0.23333333333333334,-0.09000000000000001,,-0.9626666666666667,0.4
177,2020,MIN,AL,10,60,36,24,0.6,20,2168,1937,269,468,293,81,3,91,258,14,7,186,528,0.242,0.315,0.427,0.743,104,828,38,29,2,14,9,378,4.5,175,683,696,1530,267,0.283,436,10,0.9,0.186,3.7,66.7,21,97,MIN,514,MIN,AL,36,60,36,24,0.6,3.58,60,0,0,17,513.1,448,215,204,62,170,0,535,21,1,20,2130,122,3.79,1.204,7.9,1.1,3.0,9.4,3.15,50,5.1,6.3,6.7,,60.47,6.3,0.0,1526.6873944906383,1537.9780858379047,11.290691347266376,0.16666666666666666,0.8333333333333334,4.45,3.5833333333333335,0.9166666666666665,0.08579335793357934,0.24354243542435425,0.04197416974169742,0.08071955719557196,0.2833333333333333,0.105,,1.0078333333333334,0.6
178,2026,KCR,AL,9,115,48,67,0.417,25,4314,3859,477,947,607,209,15,116,454,88,24,356,915,0.245,0.313,0.398,0.71,101,1534,68,41,19,39,10,787,4.1,340,1344,1368,3062,499,0.29,815,9,0.9,0.152,4.2,78.6,112,92,KCR,502,KCR,AL,48,115,48,67,0.417,4.81,115,1,1,28,1010.0,1003,579,540,147,428,10,855,43,3,42,4371,86,4.69,1.417,8.9,1.3,3.8,7.6,2.0,-75,-6.5,-6.1,-4.5,,-72.45,-6.6,0.0,1503.0755522157758,1467.3552237353406,-35.72032848043523,0.0782608695652174,-0.6521739130434783,4.339130434782609,5.034782608695652,-0.9347826086956523,0.08252202132591563,0.2121001390820584,0.02688919796012981,0.07881316643486323,0.24347826086956523,-0.05304347826086956,,-0.63,0.417
